,sig_id,absolute_exposure,relative_exposure,url,aetiology,comments,gist
10,SBS10b,3717.44153536513,0.02123469438934957,https://cancer.sanger.ac.uk/signatures/sbs/sbs10b,Polymerase epsilon exonuclease domain mutations,Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators,Poly
11,SBS18,3684.49038459112,0.021046471492013604,https://cancer.sanger.ac.uk/signatures/sbs/sbs18,Possibly damage by reactive oxygen species,Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations,Oxy
12,SBS22,3490.49064412334,0.01993831009626436,https://cancer.sanger.ac.uk/signatures/sbs/sbs22,Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure,none,Acid
13,SBS36,3458.78686710193,0.019757212422062038,https://cancer.sanger.ac.uk/signatures/sbs/sbs36,"Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations","Similar to <a href=""/signatures/sbs/sbs18/"">SBS18</a>, which has been proposed to be due to reactive oxygen species induced DNA damage",MUTYH
14,SBS2,3284.8249580559,0.018763510721890593,https://cancer.sanger.ac.uk/signatures/sbs/sbs2,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1,536 mutation classification signature extraction). SBS2 mutations may be generated directly by DNA replication across uracil or by error prone polymerases replicating across abasic sites generated by base excision repair removal of uracil","SBS2 is usually found in the same samples as SBS13. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well",APOBEC
15,SBS25,2961.32014970664,0.016915593095364452,https://cancer.sanger.ac.uk/signatures/sbs/sbs25,"Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment",This signature has only been identified in Hodgkin’s cell lines. Data is not available from primary Hodgkin lymphomas,Chemo
16,SBS38,1902.68440999295,0.010868475423544698,https://cancer.sanger.ac.uk/signatures/sbs/sbs38,Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light,none,UV
17,SBS7b,1692.21393029652,0.009666230204133463,https://cancer.sanger.ac.uk/signatures/sbs/sbs7b,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7b may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts. However, there is no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible for SBS7b",none,UV
18,SBS85,1635.02096152482,0.009339533684085199,https://cancer.sanger.ac.uk/signatures/sbs/sbs85,Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells,SBS85 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers,AID
19,SBS87,1198.58768564936,0.0068465483482316744,https://cancer.sanger.ac.uk/signatures/sbs/sbs87,"Thiopurine chemotherapy treatment, experimentally validated",none,Chemo
20,SBS4,1088.34386050552,0.006216815798850127,https://cancer.sanger.ac.uk/signatures/sbs/sbs4,"Associated with tobacco smoking. Its profile is similar to the mutational spectrum observed in experimental systems exposed to tobacco carcinogens such as benzo[a]pyrene. SBS4 is, therefore, likely due to direct DNA damage by tobacco smoke mutagens","Although tobacco smoking causes multiple cancer types in addition to lung and head and neck, SBS4 has not been detected in many of these. SBS29 is found in cancers associated with tobacco chewing and appears different from SBS4",Smoking
21,SBS7c,763.731663465541,0.004362572569030983,https://cancer.sanger.ac.uk/signatures/sbs/sbs7c,"SBS7a/SBS7b/SBS7c/SBS7d are found in cancers of the skin from sun exposed areas and are likely to be due to exposure to ultraviolet light. SBS7c is possibly the consequence of translesion DNA synthesis by enzymes with propensity to insert T, rather than A, opposite ultraviolet induced thymidine and cytidine photodimers. The preponderance of T>A rather than T>C mutations may reflect the heavier burden of thymidine compared to cytidine dimers induced by UV light",none,UV
22,SBS1,710.145852940263,0.00405648078539837,https://cancer.sanger.ac.uk/signatures/sbs/sbs1,An endogenous mutational process initiated by spontaneous or enzymatic deamination of 5-methylcytosine to thymine which generates G:T mismatches in double stranded DNA. Failure to detect and remove these mismatches prior to DNA replication results in fixation of the T substitution for C,Signature SBS1 is clock-like in that the number of mutations in most cancers and normal cells correlates with the age of the individual. Rates of acquisition of Signature SBS1 mutations over time differ markedly between different cancer types and different normal cell types. These differences correlate with estimated rates of stem cell division in different tissues and Signature SBS1 may therefore be a cell division/mitotic clock,Clock-like
23,SBS13,640.750647137221,0.003660082893650793,https://cancer.sanger.ac.uk/signatures/sbs/sbs13,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil","SBS13 is usually found in the same samples as SBS2a. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well",AID/APOBEC
24,SBS24,348.3922067776,0.001990078920723841,https://cancer.sanger.ac.uk/signatures/sbs/sbs24,Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin,none,Aflatoxin
25,SBS86,8.54603070279462,4.881646382046402e-05,https://cancer.sanger.ac.uk/signatures/sbs/sbs86,Unknown chemotherapy treatment,Mainly characterized by most C>G trinucleotide contexts except those flanked 3' by G. Enriched in hyperdiploid acute lymphoblastic leukaemia (ALL) cases,Chemo
